a	pref_name
(117190,"PROTEIN COMPLEX","Tryptophan synthase alpha /beta chains",83333,"Escherichia coli K-12",CHEMBL3885646,0)	Tryptophan synthase alpha /beta chains
(117191,"PROTEIN COMPLEX GROUP","Tubulin alpha-1A /beta chains",9606,"Homo sapiens",CHEMBL3885647,0)	Tubulin alpha-1A /beta chains
(117193,"PROTEIN FAMILY","Tyrosine-protein kinase JAK1/JAK2",10090,"Mus musculus",CHEMBL3885649,0)	Tyrosine-protein kinase JAK1/JAK2
(117194,"PROTEIN FAMILY","Tyrosine-protein kinase JAK1/JAK3",10090,"Mus musculus",CHEMBL3885650,0)	Tyrosine-protein kinase JAK1/JAK3
(117195,"PROTEIN COMPLEX","Urease subunit alpha/Urease subunit beta",85962,"Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori)",CHEMBL3885651,0)	Urease subunit alpha/Urease subunit beta
(117197,"PROTEIN COMPLEX","Voltage-dependent L-type calcium channel subunit beta-1/alpha-1B/alpha-2/delta-1",10116,"Rattus norvegicus",CHEMBL3885653,0)	Voltage-dependent L-type calcium channel subunit beta-1/alpha-1B/alpha-2/delta-1
(117200,"SINGLE PROTEIN",Beta-lactamase,644,"Aeromonas hydrophila",CHEMBL3885662,0)	Beta-lactamase
(117203,"SINGLE PROTEIN","Beta-lactamase ",562,"Escherichia coli",CHEMBL3885665,0)	Beta-lactamase 
(117205,"SINGLE PROTEIN","Phospholipase A2",7460,"Apis mellifera",CHEMBL3885667,0)	Phospholipase A2
(117206,"SINGLE PROTEIN",Beta-lactamase,287,"Pseudomonas aeruginosa",CHEMBL3885668,0)	Beta-lactamase
(117207,"SINGLE PROTEIN","Beta-lactamase OXA-23",470,"Acinetobacter baumannii",CHEMBL3885669,0)	Beta-lactamase OXA-23
(117208,"SINGLE PROTEIN","Beta-lactamase bla(BEL1)",287,"Pseudomonas aeruginosa",CHEMBL3885670,0)	Beta-lactamase bla(BEL1)
(117209,"PROTEIN FAMILY","GH92 alpha-mannosidase",226186,"Bacteroides thetaiotaomicron ",CHEMBL3885801,0)	GH92 alpha-mannosidase
(117210,"SINGLE PROTEIN","Nucleosome assembly protein 1-like 4",9606,"Homo sapiens",CHEMBL3886061,0)	Nucleosome assembly protein 1-like 4
(117211,"SINGLE PROTEIN","Cytosolic carboxypeptidase 2",9606,"Homo sapiens",CHEMBL3886062,0)	Cytosolic carboxypeptidase 2
(117212,"SINGLE PROTEIN",Transporter,10116,"Rattus norvegicus",CHEMBL3886063,0)	Transporter
(117213,"SINGLE PROTEIN","Cation channel sperm-associated protein 1",10090,"Mus musculus",CHEMBL3886121,0)	Cation channel sperm-associated protein 1
(117214,"SINGLE PROTEIN","Sodium/hydrogen exchanger 2",10116,"Rattus norvegicus",CHEMBL3886122,0)	Sodium/hydrogen exchanger 2
(117215,"SINGLE PROTEIN","Thyrotropin-releasing hormone-degrading ectoenzyme",9606,"Homo sapiens",CHEMBL3886123,0)	Thyrotropin-releasing hormone-degrading ectoenzyme
(117216,"SINGLE PROTEIN","Transient receptor potential cation channel subfamily M member 5",10090,"Mus musculus",CHEMBL3886124,0)	Transient receptor potential cation channel subfamily M member 5
(117217,"SINGLE PROTEIN","Free fatty acid receptor 3",10116,"Rattus norvegicus",CHEMBL3886125,0)	Free fatty acid receptor 3
(117218,"SINGLE PROTEIN","Spermidine synthase",353153,"Trypanosoma cruzi (strain CL Brener)",CHEMBL3987581,0)	Spermidine synthase
(117219,"PROTEIN NUCLEIC-ACID COMPLEX","80S Ribosome",9606,"Homo sapiens",CHEMBL3987582,0)	80S Ribosome
(117220,OLIGOSACCHARIDE,"Lewis Y antigen",9606,"Homo sapiens",CHEMBL3987607,0)	Lewis Y antigen
(117223,MACROMOLECULE,"DNA-histone H1 complex",9606,"Homo sapiens",CHEMBL3988061,0)	DNA-histone H1 complex
(117224,LIPID,"Sphingosine 1-phosphate",9606,"Homo sapiens",CHEMBL3988062,0)	Sphingosine 1-phosphate
(117225,"PROTEIN FAMILY","Transferrin receptor",9606,"Homo sapiens",CHEMBL3988361,0)	Transferrin receptor
(117226,"SINGLE PROTEIN","Low calcium response locus protein V",287,"Pseudomonas aeruginosa",CHEMBL3988501,0)	Low calcium response locus protein V
(117227,"SINGLE PROTEIN",Glycoprotein,11294,"Rabies virus (strain CVS-11) (RABV)",CHEMBL3988502,0)	Glycoprotein
(117228,"SINGLE PROTEIN","Envelope glycoprotein B",10360,"Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5)",CHEMBL3988503,0)	Envelope glycoprotein B
(117229,"SINGLE PROTEIN","Envelope glycoprotein H",10360,"Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5)",CHEMBL3988504,0)	Envelope glycoprotein H
(117230,"SINGLE PROTEIN","Collagen alpha-4(IV) chain",9606,"Homo sapiens",CHEMBL3988505,0)	Collagen alpha-4(IV) chain
(117231,"SINGLE PROTEIN","E protein",11082,"West Nile virus",CHEMBL3988506,0)	E protein
(117232,MACROMOLECULE,"Light chain aggregates",9606,"Homo sapiens",CHEMBL3988521,0)	Light chain aggregates
(117233,MACROMOLECULE,"Tumor-associated antigen 72",9606,"Homo sapiens",CHEMBL3988522,0)	Tumor-associated antigen 72
(117234,MACROMOLECULE,Melanin,9606,"Homo sapiens",CHEMBL3988541,0)	Melanin
(117235,OLIGOSACCHARIDE,RAAG12,9606,"Homo sapiens",CHEMBL3988542,0)	RAAG12
(117236,MACROMOLECULE,"Lipoteichoic acid",1279,Staphylococcus,CHEMBL3988543,1)	Lipoteichoic acid
(117237,MACROMOLECULE,"Oxidized LDL",9606,"Homo sapiens",CHEMBL3988544,0)	Oxidized LDL
(117238,UNKNOWN,"Proteoglycan chondroitin sulfate-associated protein",9606,"Homo sapiens",CHEMBL3988545,0)	Proteoglycan chondroitin sulfate-associated protein
(117239,UNKNOWN,"ABC transporter GrfA",1280,"Staphylococcus aureus",CHEMBL3988546,0)	ABC transporter GrfA
(117240,"PROTEIN FAMILY","Human leukocyte antigen DR beta chain",9606,"Homo sapiens",CHEMBL3988561,0)	Human leukocyte antigen DR beta chain
(117241,"SINGLE PROTEIN","Thyrotropin subunit beta",9913,"Bos taurus",CHEMBL3988581,0)	Thyrotropin subunit beta
(117242,"SINGLE PROTEIN","Polyphenol oxidase 1",5341,"Agaricus bisporus",CHEMBL3988582,0)	Polyphenol oxidase 1
(117243,"SINGLE PROTEIN","Sepiapterin reductase",9606,"Homo sapiens",CHEMBL3988583,0)	Sepiapterin reductase
(117244,"SINGLE PROTEIN","Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex",83332,"Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)",CHEMBL3988584,0)	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
(117245,"SINGLE PROTEIN","Dihydrolipoyl dehydrogenase",83332,"Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)",CHEMBL3988585,0)	Dihydrolipoyl dehydrogenase
(117246,"SINGLE PROTEIN","DNA polymerase",10254,"Vaccinia virus (strain Western Reserve) (VACV) (Vaccinia virus (strainWR))",CHEMBL3988586,0)	DNA polymerase
(117247,"SINGLE PROTEIN","Hypoxanthine phosphoribosyltransferase",1035515,"Plasmodium vivax Mauritania I",CHEMBL3988587,0)	Hypoxanthine phosphoribosyltransferase
(117248,"SINGLE PROTEIN","Xanthine phosphoribosyltransferase",83333,"Escherichia coli (strain K12)",CHEMBL3988588,0)	Xanthine phosphoribosyltransferase
(117249,"SINGLE PROTEIN","Tubulin alpha chain",5693,"Trypanosoma cruzi",CHEMBL3988589,0)	Tubulin alpha chain
(117250,"SINGLE PROTEIN","PC4 and SFRS1-interacting protein",9606,"Homo sapiens",CHEMBL3988590,0)	PC4 and SFRS1-interacting protein
(117251,"SINGLE PROTEIN","Glycylpeptide N-tetradecanoyltransferase",330879,"Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSCA1100) (Aspergillus fumigatus)",CHEMBL3988591,0)	Glycylpeptide N-tetradecanoyltransferase
(117252,"SINGLE PROTEIN","ADAM metallopeptidase with thrombospondin type 1 motif 4",9615,"Canis lupus familiaris",CHEMBL3988592,0)	ADAM metallopeptidase with thrombospondin type 1 motif 4
(117253,"SINGLE PROTEIN","S-methyl-5'-thioinosine phosphorylase",208964,"Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 /JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)",CHEMBL3988593,0)	S-methyl-5'-thioinosine phosphorylase
(117254,"SINGLE PROTEIN","Dihydrofolate reductase",1314,"Streptococcus pyogenes",CHEMBL3988594,0)	Dihydrofolate reductase
(117255,"SINGLE PROTEIN","Uracil-DNA glycosylase",10249,"Vaccinia virus (strain Copenhagen) (VACV)",CHEMBL3988595,0)	Uracil-DNA glycosylase
(117256,"SINGLE PROTEIN","Glycylpeptide N-tetradecanoyltransferase",185431,"Trypanosoma brucei brucei (strain 927/4 GUTat10.1)",CHEMBL3988596,0)	Glycylpeptide N-tetradecanoyltransferase
(117257,"SINGLE PROTEIN","Histamine oxidase",1665,"Arthrobacter globiformis",CHEMBL3988597,0)	Histamine oxidase
(117258,"SINGLE PROTEIN","Dihydroorotate dehydrogenase (quinone), mitochondrial",5823,"Plasmodium berghei (strain Anka)",CHEMBL3988598,0)	Dihydroorotate dehydrogenase (quinone), mitochondrial
(117259,"SINGLE PROTEIN","Taste receptor type 2 member 8",9606,"Homo sapiens",CHEMBL3988599,0)	Taste receptor type 2 member 8
(117260,"SINGLE PROTEIN","A disintegrin-like and metallopeptidase (Reprolysin type) with thrombospondin type 1 motif, 5 (Aggrecanase-2)",10116,"Rattus norvegicus",CHEMBL3988600,0)	A disintegrin-like and metallopeptidase (Reprolysin type) with thrombospondin type 1 motif, 5 (Aggrecanase-2)
(117261,"SINGLE PROTEIN","Porphobilinogen deaminase",9606,"Homo sapiens",CHEMBL3988601,0)	Porphobilinogen deaminase
(117262,"SINGLE PROTEIN","Dihydroorotate dehydrogenase, mitochondrial, putative",126793,"Plasmodium vivax (strain Salvador I)",CHEMBL3988602,0)	Dihydroorotate dehydrogenase, mitochondrial, putative
(117263,"SINGLE PROTEIN","Genome polyprotein",11116,"Hepatitis C virus genotype 1b (isolate Japanese) (HCV)",CHEMBL3988603,0)	Genome polyprotein
(117264,"SINGLE PROTEIN","Melanocortin receptor 5",9541,"Macaca fascicularis",CHEMBL3988604,0)	Melanocortin receptor 5
(117266,"SINGLE PROTEIN","Transitional endoplasmic reticulum ATPase",10090,"Mus musculus",CHEMBL3988606,0)	Transitional endoplasmic reticulum ATPase
(117267,"SINGLE PROTEIN","Plasmepsin 4",5833,"Plasmodium falciparum",CHEMBL3988607,0)	Plasmepsin 4
(118543,CELL-LINE,MEB5,10090,"Mus musculus",CHEMBL4296469,0)	MEB5
(117268,"SINGLE PROTEIN","Hypoxanthine-guanine-xanthine phosphoribosyltransferase",5838,"Plasmodium falciparum (isolate FCR-3 / Gambia)",CHEMBL3988608,0)	Hypoxanthine-guanine-xanthine phosphoribosyltransferase
(117269,"SINGLE PROTEIN","Prokineticin receptor 1",10029,"Cricetulus griseus",CHEMBL3988609,0)	Prokineticin receptor 1
(117270,"SINGLE PROTEIN","Serine/threonine-protein kinase Sgk1",10090,"Mus musculus",CHEMBL3988610,0)	Serine/threonine-protein kinase Sgk1
(117271,"SINGLE PROTEIN","Cystic fibrosis transmembrane conductance regulator",10029,"Cricetulus griseus",CHEMBL3988611,0)	Cystic fibrosis transmembrane conductance regulator
(117272,"SINGLE PROTEIN","Gonadotropin-releasing hormone receptor",9541,"Macaca fascicularis",CHEMBL3988612,0)	Gonadotropin-releasing hormone receptor
(117273,"SINGLE PROTEIN","Protein-glutamine gamma-glutamyltransferase 2",10144,"Cavia cutleri",CHEMBL3988613,0)	Protein-glutamine gamma-glutamyltransferase 2
(117274,"SINGLE PROTEIN","Amine oxidase",4922,"Komagataella pastoris",CHEMBL3988614,0)	Amine oxidase
(117275,"SINGLE PROTEIN","N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",10090,"Mus musculus",CHEMBL3988621,0)	N(G),N(G)-dimethylarginine dimethylaminohydrolase 1
(117276,"SINGLE PROTEIN","Biliverdin-producing heme oxygenase",487,"Neisseria meningitidis",CHEMBL3988622,0)	Biliverdin-producing heme oxygenase
(117277,"SINGLE PROTEIN","Thyrotropin releasing hormone degrading enzyme",9823,"Sus scrofa",CHEMBL3988623,0)	Thyrotropin releasing hormone degrading enzyme
(117278,"SINGLE PROTEIN","Transient receptor potential cation channel, subfamily M, member 5",10116,"Rattus norvegicus",CHEMBL3988624,0)	Transient receptor potential cation channel, subfamily M, member 5
(117279,"SINGLE PROTEIN","Kinesin family member 20B",60711,"Chlorocebus sabaeus",CHEMBL3988625,0)	Kinesin family member 20B
(117280,"SINGLE PROTEIN","Alpha-1B adrenergic receptor",10029,"Cricetulus griseus",CHEMBL3988626,0)	Alpha-1B adrenergic receptor
(117281,"PROTEIN FAMILY",Aggrecanase,9823,"Sus scrofa",CHEMBL3988627,0)	Aggrecanase
(117282,"PROTEIN COMPLEX","Casein kinase 2",9913,"Bos taurus",CHEMBL3988628,0)	Casein kinase 2
(117283,"PROTEIN COMPLEX","Casein kinase 2",10116,"Rattus norvegicus",CHEMBL3988629,0)	Casein kinase 2
(117284,"PROTEIN FAMILY","Cytochrome P450 11B",10116,"Rattus norvegicus",CHEMBL3988630,0)	Cytochrome P450 11B
(117285,"PROTEIN FAMILY","Heat shock factor protein",9606,"Homo sapiens",CHEMBL3988631,0)	Heat shock factor protein
(117286,"PROTEIN FAMILY","L-type calcium channel",10090,"Mus musculus",CHEMBL3988632,0)	L-type calcium channel
(117287,"PROTEIN FAMILY","L-type calcium channel",10141,"Cavia porcellus",CHEMBL3988633,0)	L-type calcium channel
(117288,"PROTEIN COMPLEX GROUP",Tubulin,5476,"Candida albicans",CHEMBL3988634,0)	Tubulin
(117289,"PROTEIN FAMILY","Phosphatidylinositol 3-kinase",10090,"Mus musculus",CHEMBL3988635,0)	Phosphatidylinositol 3-kinase
(117290,"PROTEIN COMPLEX","Voltage-gated potassium channel subfamily A member 1/beta-1",9606,"Homo sapiens",CHEMBL3988636,0)	Voltage-gated potassium channel subfamily A member 1/beta-1
(117291,"PROTEIN FAMILY","Transforming growth factor beta",9606,"Homo sapiens",CHEMBL3988637,0)	Transforming growth factor beta
(117292,"PROTEIN COMPLEX","Voltage-dependent L-type calcium channel alpha1C/alpha2delta/beta1b",9606,"Homo sapiens",CHEMBL3988638,0)	Voltage-dependent L-type calcium channel alpha1C/alpha2delta/beta1b
(117293,"PROTEIN COMPLEX","Voltage-dependent N-type calcium channel alpha1B/alpha2b/beta1b",10116,"Rattus norvegicus",CHEMBL3988639,0)	Voltage-dependent N-type calcium channel alpha1B/alpha2b/beta1b
(117294,"PROTEIN COMPLEX","Voltage-dependent P/Q-type calcium channel alpha1A/alpha2delta/beta1b",9606,"Homo sapiens",CHEMBL3988640,0)	Voltage-dependent P/Q-type calcium channel alpha1A/alpha2delta/beta1b
(117295,"PROTEIN FAMILY","Voltage-gated sodium channel",10116,"Rattus norvegicus",CHEMBL3988641,0)	Voltage-gated sodium channel
(117296,"SINGLE PROTEIN",Hepcidin,9606,"Homo sapiens",CHEMBL3989381,0)	Hepcidin
(117297,"SINGLE PROTEIN","Macrophage colony-stimulating factor 1",9606,"Homo sapiens",CHEMBL3989382,0)	Macrophage colony-stimulating factor 1
(117298,"SINGLE PROTEIN","Tumor necrosis factor receptor superfamily member 4",9606,"Homo sapiens",CHEMBL3989383,0)	Tumor necrosis factor receptor superfamily member 4
(117299,"SINGLE PROTEIN",Cadherin-3,9606,"Homo sapiens",CHEMBL3989384,0)	Cadherin-3
(117300,OLIGOSACCHARIDE,Poly-N-acetylglucosamine,1280,"Staphylococcus aureus",CHEMBL3989385,0)	Poly-N-acetylglucosamine
(117301,OLIGOSACCHARIDE,Glycosaminoglycans,9606,"Homo sapiens",CHEMBL3991481,0)	Glycosaminoglycans
(117302,"PROTEIN COMPLEX","DNA terminase",10360,"Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5)",CHEMBL3991482,0)	DNA terminase
(117303,"SINGLE PROTEIN","Isocitrate dehydrogenase [NADP], mitochondrial",9606,"Homo sapiens",CHEMBL3991501,0)	Isocitrate dehydrogenase [NADP], mitochondrial
(117304,"PROTEIN COMPLEX","DNA gyrase",198466,"Streptococcus pyogenes serotype M3 (strain ATCC BAA-595 / MGAS315)",CHEMBL3991502,0)	DNA gyrase
(117305,"PROTEIN COMPLEX","DNA topoisomerase IV",198466,"Streptococcus pyogenes serotype M3 (strain ATCC BAA-595 / MGAS315)",CHEMBL3991503,0)	DNA topoisomerase IV
(117306,"SINGLE PROTEIN","ATP synthase subunit c",83331,"Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)",CHEMBL4105701,0)	ATP synthase subunit c
(117307,"SINGLE PROTEIN","Ras-related protein Rab-27A",9606,"Homo sapiens",CHEMBL4105702,0)	Ras-related protein Rab-27A
(117308,"SINGLE PROTEIN","Ras-related protein Rab-6A",9606,"Homo sapiens",CHEMBL4105703,0)	Ras-related protein Rab-6A
(117309,"SINGLE PROTEIN","Obg-like ATPase 1",9606,"Homo sapiens",CHEMBL4105704,0)	Obg-like ATPase 1
(117310,"SINGLE PROTEIN","Dynamin-like 120 kDa protein, mitochondrial",9606,"Homo sapiens",CHEMBL4105705,0)	Dynamin-like 120 kDa protein, mitochondrial
(117311,"SINGLE PROTEIN","Membrane-associated progesterone receptor component 1",9606,"Homo sapiens",CHEMBL4105706,0)	Membrane-associated progesterone receptor component 1
(117312,"SINGLE PROTEIN","Acyl-CoA dehydrogenase family member 11",9606,"Homo sapiens",CHEMBL4105707,0)	Acyl-CoA dehydrogenase family member 11
(117313,"SINGLE PROTEIN","m7GpppX diphosphatase",10090,"Mus musculus",CHEMBL4105708,0)	m7GpppX diphosphatase
(117314,"SINGLE PROTEIN","Recombining binding protein suppressor of hairless",9606,"Homo sapiens",CHEMBL4105709,0)	Recombining binding protein suppressor of hairless
(117315,"SINGLE PROTEIN","Probable esterase LipO",83332,"Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)",CHEMBL4105710,0)	Probable esterase LipO
(117316,"SINGLE PROTEIN","Opioid receptor, delta 1b",7955,"Danio rerio",CHEMBL4105711,0)	Opioid receptor, delta 1b
(117317,"SINGLE PROTEIN","Poly(ADP-ribose) glycohydrolase",5911,"Tetrahymena thermophila",CHEMBL4105712,0)	Poly(ADP-ribose) glycohydrolase
(117318,"SINGLE PROTEIN","ADP-sugar pyrophosphatase",9606,"Homo sapiens",CHEMBL4105713,0)	ADP-sugar pyrophosphatase
(117319,"SINGLE PROTEIN","Serine/threonine-protein phosphatase 4 regulatory subunit 3B",9606,"Homo sapiens",CHEMBL4105714,0)	Serine/threonine-protein phosphatase 4 regulatory subunit 3B
(117320,"SINGLE PROTEIN","Leucyl-cystinyl aminopeptidase",10090,"Mus musculus",CHEMBL4105715,0)	Leucyl-cystinyl aminopeptidase
(117321,"SINGLE PROTEIN","Cyclic AMP-dependent transcription factor ATF-6 alpha",10116,"Rattus norvegicus",CHEMBL4105716,0)	Cyclic AMP-dependent transcription factor ATF-6 alpha
(117322,"SINGLE PROTEIN","Matrix M2-1",11259,"Human respiratory syncytial virus A (strain A2)",CHEMBL4105717,0)	Matrix M2-1
(117323,"SINGLE PROTEIN",Phosphoprotein,11259,"Human respiratory syncytial virus A (strain A2)",CHEMBL4105718,0)	Phosphoprotein
(117324,"SINGLE PROTEIN","Beta-adrenergic receptor kinase 1",10116,"Rattus norvegicus",CHEMBL4105719,0)	Beta-adrenergic receptor kinase 1
(117325,"SINGLE PROTEIN","Heme ligase",36329,"Plasmodium falciparum (isolate 3D7)",CHEMBL4105720,0)	Heme ligase
(117326,"SINGLE PROTEIN","Nuclear receptor ROR-beta",10116,"Rattus norvegicus",CHEMBL4105721,0)	Nuclear receptor ROR-beta
(117327,"SINGLE PROTEIN","Toll-like receptor 7",9541,"Macaca fascicularis",CHEMBL4105722,0)	Toll-like receptor 7
(117328,"SINGLE PROTEIN","Toll-like receptor 8",9541,"Macaca fascicularis",CHEMBL4105723,0)	Toll-like receptor 8
(117329,"SINGLE PROTEIN","Protein arginine N-methyltransferase 9",9606,"Homo sapiens",CHEMBL4105724,0)	Protein arginine N-methyltransferase 9
(117330,"SINGLE PROTEIN","Ubiquitin-conjugating enzyme E2 D3",10090,"Mus musculus",CHEMBL4105725,0)	Ubiquitin-conjugating enzyme E2 D3
(117331,"SINGLE PROTEIN","Zinc finger and BTB domain-containing protein 16",9606,"Homo sapiens",CHEMBL4105726,0)	Zinc finger and BTB domain-containing protein 16
(117332,"SINGLE PROTEIN","Transcription factor GATA-4",10116,"Rattus norvegicus",CHEMBL4105727,0)	Transcription factor GATA-4
(117333,"SINGLE PROTEIN","Cyclic GMP-AMP synthase",9606,"Homo sapiens",CHEMBL4105728,0)	Cyclic GMP-AMP synthase
(117334,"SINGLE PROTEIN","Carbonic anhydrase 1",9544,"Macaca mulatta",CHEMBL4105729,0)	Carbonic anhydrase 1
(117335,"SINGLE PROTEIN","Glutaminase liver isoform, mitochondrial",9606,"Homo sapiens",CHEMBL4105730,0)	Glutaminase liver isoform, mitochondrial
(117336,"SINGLE PROTEIN","Serine/threonine-protein phosphatase 6 catalytic subunit",9606,"Homo sapiens",CHEMBL4105731,0)	Serine/threonine-protein phosphatase 6 catalytic subunit
(117337,"SINGLE PROTEIN","Brefeldin A-inhibited guanine nucleotide-exchange protein 2",9606,"Homo sapiens",CHEMBL4105732,0)	Brefeldin A-inhibited guanine nucleotide-exchange protein 2
(117338,"SINGLE PROTEIN","Conserved oligomeric Golgi complex subunit 4",9606,"Homo sapiens",CHEMBL4105733,0)	Conserved oligomeric Golgi complex subunit 4
(117339,"SINGLE PROTEIN","Coagulation factor IX",10116,"Rattus norvegicus",CHEMBL4105734,0)	Coagulation factor IX
(117340,"SINGLE PROTEIN","Ryanodine receptor",7650,"Hemicentrotus pulcherrimus",CHEMBL4105735,0)	Ryanodine receptor
(117341,"SINGLE PROTEIN","Neuropeptide Y receptor type 4",10090,"Mus musculus",CHEMBL4105736,0)	Neuropeptide Y receptor type 4
(117342,"SINGLE PROTEIN","Bromodomain adjacent to zinc finger domain protein 1A",9606,"Homo sapiens",CHEMBL4105737,0)	Bromodomain adjacent to zinc finger domain protein 1A
(117343,"SINGLE PROTEIN","GIM-1 protein",287,"Pseudomonas aeruginosa",CHEMBL4105738,0)	GIM-1 protein
(117344,"SINGLE PROTEIN","Protein kinase 7",36329,"Plasmodium falciparum (isolate 3D7)",CHEMBL4105739,0)	Protein kinase 7
(117345,"SINGLE PROTEIN","Choline/ethanolaminephosphotransferase 1",9606,"Homo sapiens",CHEMBL4105740,0)	Choline/ethanolaminephosphotransferase 1
(117346,"SINGLE PROTEIN","Methionyl-tRNA synthetase, putative",981087,"Leishmania donovani (strain BPK282A1)",CHEMBL4105741,0)	Methionyl-tRNA synthetase, putative
(117347,"SINGLE PROTEIN","Chromodomain-helicase-DNA-binding protein 4",9606,"Homo sapiens",CHEMBL4105742,0)	Chromodomain-helicase-DNA-binding protein 4
(117348,"SINGLE PROTEIN","General transcription and DNA repair factor IIH helicase subunit XPD",9606,"Homo sapiens",CHEMBL4105743,0)	General transcription and DNA repair factor IIH helicase subunit XPD
(117349,"SINGLE PROTEIN","Electron transfer flavoprotein subunit beta",9606,"Homo sapiens",CHEMBL4105744,0)	Electron transfer flavoprotein subunit beta
(117350,"SINGLE PROTEIN","DNA replication licensing factor MCM4",9606,"Homo sapiens",CHEMBL4105745,0)	DNA replication licensing factor MCM4
(117351,"SINGLE PROTEIN",Myosin-10,9606,"Homo sapiens",CHEMBL4105746,0)	Myosin-10
(117352,"SINGLE PROTEIN","Structural maintenance of chromosomes protein 1A",9606,"Homo sapiens",CHEMBL4105747,0)	Structural maintenance of chromosomes protein 1A
(117353,"SINGLE PROTEIN","Peroxisomal acyl-coenzyme A oxidase 1",9606,"Homo sapiens",CHEMBL4105748,0)	Peroxisomal acyl-coenzyme A oxidase 1
(117354,"SINGLE PROTEIN","Receptor-type tyrosine-protein phosphatase O",9606,"Homo sapiens",CHEMBL4105749,0)	Receptor-type tyrosine-protein phosphatase O
(117355,"SINGLE PROTEIN","SRSF protein kinase 1",10090,"Mus musculus",CHEMBL4105750,0)	SRSF protein kinase 1
(117356,"SINGLE PROTEIN","Probable lipase/esterase LipN",83332,"Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)",CHEMBL4105751,0)	Probable lipase/esterase LipN
(117357,"SINGLE PROTEIN","Probable lipase LipH",83332,"Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)",CHEMBL4105752,0)	Probable lipase LipH
(117358,"SINGLE PROTEIN","Probable esterase LipM",83332,"Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)",CHEMBL4105753,0)	Probable esterase LipM
(117359,"SINGLE PROTEIN","C-type lectin domain family 4 member E",10090,"Mus musculus",CHEMBL4105754,0)	C-type lectin domain family 4 member E
(117360,"SINGLE PROTEIN","Diacylglycerol kinase beta",9606,"Homo sapiens",CHEMBL4105755,0)	Diacylglycerol kinase beta
(117361,"SINGLE PROTEIN","STE20-related kinase adapter protein beta",9606,"Homo sapiens",CHEMBL4105756,0)	STE20-related kinase adapter protein beta
(117362,"SINGLE PROTEIN","Zinc finger protein 664",10141,"Cavia porcellus",CHEMBL4105757,0)	Zinc finger protein 664
(117363,"SINGLE PROTEIN","Butyrophilin subfamily 3 member A1",9606,"Homo sapiens",CHEMBL4105758,0)	Butyrophilin subfamily 3 member A1
(117364,"SINGLE PROTEIN","Interleukin-1 receptor-associated kinase-like 2",9606,"Homo sapiens",CHEMBL4105759,0)	Interleukin-1 receptor-associated kinase-like 2
(117365,"SINGLE PROTEIN","Probable ATP-dependent RNA helicase DDX17",9606,"Homo sapiens",CHEMBL4105760,0)	Probable ATP-dependent RNA helicase DDX17
(117366,"SINGLE PROTEIN","Paired amphipathic helix protein Sin3b",10090,"Mus musculus",CHEMBL4105761,0)	Paired amphipathic helix protein Sin3b
(117367,"SINGLE PROTEIN","Peptidyl-prolyl cis-trans isomerase Mip",83558,"Chlamydia pneumoniae",CHEMBL4105762,0)	Peptidyl-prolyl cis-trans isomerase Mip
(117368,"SINGLE PROTEIN","Ubiquitin-conjugating enzyme E2 T",9606,"Homo sapiens",CHEMBL4105763,0)	Ubiquitin-conjugating enzyme E2 T
(117369,"SINGLE PROTEIN","G-protein coupled receptor 4",10090,"Mus musculus",CHEMBL4105764,0)	G-protein coupled receptor 4
(117370,"SINGLE PROTEIN","Toll-like receptor 8",10116,"Rattus norvegicus",CHEMBL4105765,0)	Toll-like receptor 8
(117371,"SINGLE PROTEIN","Ubiquitin-conjugating enzyme E2 D1",9606,"Homo sapiens",CHEMBL4105766,0)	Ubiquitin-conjugating enzyme E2 D1
(117372,"SINGLE PROTEIN",Anoctamin-2,9606,"Homo sapiens",CHEMBL4105767,0)	Anoctamin-2
(117373,"SINGLE PROTEIN","MICOS complex subunit MIC60",9606,"Homo sapiens",CHEMBL4105768,0)	MICOS complex subunit MIC60
(117374,"SINGLE PROTEIN","CCR4-NOT transcription complex subunit 3",9606,"Homo sapiens",CHEMBL4105769,0)	CCR4-NOT transcription complex subunit 3
(117375,"SINGLE PROTEIN","CCR4-NOT transcription complex subunit 4",9606,"Homo sapiens",CHEMBL4105770,0)	CCR4-NOT transcription complex subunit 4
(117376,"SINGLE PROTEIN",Peflin,9606,"Homo sapiens",CHEMBL4105771,0)	Peflin
